종명,접수일시,도로유형,도로명
고라니,2022-01-01,고속국도(재정),35
고라니,2022-01-02,고속국도(재정),65
고라니,2022-01-02,고속국도(재정),35
고라니,2022-01-02,고속국도(재정),1
개,2022-01-02,고속국도(재정),151
고라니,2022-01-03,고속국도(재정),50
고라니,2022-01-03,고속국도(재정),1
고라니,2022-01-04,고속국도(재정),253
너구리,2022-01-04,고속국도(재정),12
미동정(포유류),2022-01-04,고속국도(재정),1
고라니,2022-01-05,고속국도(재정),1
미동정(포유류),2022-01-05,고속국도(재정),1
고라니,2022-01-05,고속국도(재정),30
고라니,2022-01-05,고속국도(재정),37
수리부엉이,2022-01-06,고속국도(재정),1
고라니,2022-01-06,고속국도(재정),65
고라니,2022-01-07,고속국도(재정),15
고라니,2022-01-07,고속국도(재정),30
고라니,2022-01-08,고속국도(재정),50
고라니,2022-01-09,고속국도(재정),15
고라니,2022-01-09,고속국도(재정),35
고라니,2022-01-09,고속국도(재정),1
고라니,2022-01-10,고속국도(재정),251
고라니,2022-01-10,고속국도(재정),35
너구리,2022-01-10,고속국도(재정),10
고양이,2022-01-10,고속국도(재정),37
고라니,2022-01-10,고속국도(재정),1
고라니,2022-01-10,고속국도(재정),30
고라니,2022-01-12,고속국도(재정),당진영덕고속도로
고양이,2022-01-12,고속국도(재정),중부고속도로
고라니,2022-01-13,고속국도(재정),당진영덕고속도로
고라니,2022-01-14,고속국도(재정),서해안고속도로
고라니,2022-01-15,고속국도(재정),중앙고속도로
고라니,2022-01-15,고속국도(재정),광주대구고속도로
고라니,2022-01-15,고속국도(재정),경부고속도로
말똥가리,2022-01-15,고속국도(재정),중앙고속도로
멧돼지,2022-01-15,고속국도(재정),호남고속도로지선
고라니,2022-01-15,고속국도(재정),당진영덕고속도로
고라니,2022-01-19,고속국도(재정),중앙고속도로연결로
고라니,2022-01-19,고속국도(재정),호남고속도로
개,2022-01-19,고속국도(재정),서해안고속도로
개,2022-01-19,고속국도(재정),서울외곽순환고속도로
미동정(조류),2022-01-19,고속국도(재정),영동고속도로
고양이,2022-01-19,고속국도(재정),영동고속도로
고양이,2022-01-19,고속국도(재정),제2경인고속도로
고라니,2022-01-19,고속국도(재정),서해안고속도로
흰뺨검둥오리,2022-01-19,고속국도(재정),서해안고속도로
고라니,2022-01-19,고속국도(재정),제2경인고속도로
고양이,2022-01-20,고속국도(재정),35
고라니,2022-01-20,고속국도(재정),당진영덕고속도로
너구리,2022-01-22,고속국도(재정),55
고라니,2022-01-22,고속국도(재정),251
미동정(포유류),2022-01-24,고속국도(재정),1
고라니,2022-01-24,고속국도(재정),40
고라니,2022-01-25,고속국도(재정),50
고라니,2022-01-26,고속국도(재정),55
고양이,2022-01-27,고속국도(민자),32
고라니,2022-01-28,고속국도(재정),55
개,2022-01-30,고속국도(재정),12
고양이,2022-01-31,고속국도(재정),35
고라니,2022-02-01,고속국도(재정),151
고양이,2022-02-02,고속국도(재정),35
고라니,2022-02-03,고속국도(재정),35
너구리,2022-02-03,고속국도(재정),151
개,2022-02-04,고속국도(재정),35
멧돼지,2022-02-05,고속국도(재정),1
담비,2022-02-06,고속국도(재정),30
고라니,2022-02-07,고속국도(재정),151
고라니,2022-02-09,고속국도(재정),100
고양이,2022-02-09,고속국도(재정),12
고양이,2022-02-09,고속국도(재정),35
고양이,2022-02-10,고속국도(재정),35
