이정,X좌표값,Y좌표값
0.0,34.8665882,128.4429723
0.1,34.86671457,128.4418895
0.2,34.8668412,128.4408067
0.3,34.86698211,128.4397266
0.4,34.86716914,128.4386569
0.5,34.8674143,128.4376048
0.6,34.86771669,128.4365747
0.7,34.86807304,128.4355704
0.8,34.86846093,128.4345832
0.9,34.8688537,128.4335988
1.0,34.86924645,128.4326144
1.1,34.86963918,128.4316301
1.2,34.87003186,128.4306456
1.3,34.87041217,128.4296542
1.4,34.87073778,128.4286348
1.5,34.87097955,128.4275816
1.6,34.87113345,128.4265045
1.7,34.87120477,128.4254145
1.8,34.87123355,128.4243214
1.9,34.87127139,128.4232287
2.0,34.8713704,128.4221421
2.1,34.8715571,128.4210726
2.2,34.87183085,128.420031
2.3,34.87218893,128.4190278
2.4,34.87262775,128.418073
2.5,34.87314293,128.4171761
2.6,34.87372933,128.4163461
2.7,34.87438109,128.4155912
2.8,34.87509169,128.4149191
2.9,34.87585404,128.4143364
3.0,34.87666053,128.4138489
3.1,34.87750348,128.4134614
3.2,34.87837412,128.413178
3.3,34.87926373,128.4130016
3.4,34.88016325,128.4129284
3.5,34.88106492,128.4129131
3.6,34.88196669,128.4129053
3.7,34.88286846,128.4128976
3.8,34.88377023,128.4128898
3.9,34.88467199,128.4128821
4.0,34.88557376,128.4128743
4.1,34.88647553,128.4128666
4.2,34.88737729,128.4128588
4.3,34.88827898,128.4128443
4.4,34.88917985,128.412796
4.5,34.89007889,128.4127113
4.6,34.89097511,128.4125902
4.7,34.8918675,128.4124329
4.8,34.89275507,128.4122396
4.9,34.8936371,128.412012
5.0,34.89451751,128.4117751
5.1,34.89539793,128.4115382
5.2,34.89627834,128.4113013
5.3,34.89715875,128.4110644
5.4,34.89803917,128.4108275
5.5,34.89891934,128.4105946
5.6,34.89980462,128.4103918
5.7,34.90068951,128.410211
5.8,34.90157554,128.410078
5.9,34.90246467,128.4099887
6.0,34.90335994,128.4099265
6.1,34.90425733,128.4098748
6.2,34.90514589,128.4098557
6.3,34.90603217,128.4099115
6.4,34.90691651,128.4100501
6.5,34.9077976,128.4102581
6.6,34.90865859,128.4105615
6.7,34.90950712,128.4109294
6.8,34.91035422,128.4113023
6.9,34.91121588,128.4116223
7.0,34.91209889,128.4118396
7.1,34.91299537,128.4119489
7.2,34.91389635,128.411949
7.3,34.91479284,128.4118399
7.4,34.91567588,128.4116226
7.5,34.91653664,128.4112994
7.6,34.91736652,128.4108735
7.7,34.91816101,128.4103572
7.8,34.91893864,128.4098039
7.9,34.91971542,128.4092487
8.0,34.92049219,128.4086936
8.1,34.92126897,128.4081385
8.2,34.92204574,128.4075833
8.3,34.92282266,128.4070286
8.4,34.92360959,128.4064971
8.5,34.92442737,128.4060431
8.6,34.92528279,128.4057226
8.7,34.92615965,128.4055145
8.8,34.92704327,128.4054119
8.9,34.92793054,128.4054185
9.0,34.92882605,128.4054844
9.1,34.92972538,128.4055578
9.2,34.93062471,128.4056313
9.3,34.93152404,128.4057047
9.4,34.93242337,128.4057781
9.5,34.93332269,128.4058516
9.6,34.93422202,128.405925
9.7,34.93512135,128.4059985
9.8,34.93602068,128.4060719
9.9,34.93692001,128.4061453
10.0,34.93781934,128.4062188
10.1,34.93871867,128.4062922
10.2,34.93961799,128.4063657
10.3,34.94051732,128.4064391
10.4,34.94141665,128.4065126
10.5,34.94231598,128.406586
10.6,34.9432153,128.4066595
10.7,34.94411463,128.4067329
10.8,34.94501395,128.4068064
10.9,34.94591477,128.406878
11.0,34.94682521,128.4069209
11.1,34.94774293,128.4068963
11.2,34.94865754,128.4067961
11.3,34.94956831,128.4066087
11.4,34.95045721,128.4063714
11.5,34.95134105,128.4060464
11.6,34.95219891,128.4056659
11.7,34.95304107,128.4052379
11.8,34.95386571,128.4047634
11.9,34.95467107,128.4042433
12.0,34.95545545,128.403679
12.1,34.95621719,128.4030717
